1754322546586;16820.5839;11920.9398;0.15;18.2;14
1754322556694;16820.5838;11920.9397;0.00;18.2;29
1754322566652;16820.5834;11920.9402;0.05;18.2;20
1754322571690;16820.5836;11920.9400;0.04;18.2;20
1754322576732;16820.5835;11920.9401;0.01;18.2;20
1754322577076;16820.5834;11920.9400;0.01;18.2;21
1754322581065;16820.5834;11920.9400;0.00;18.2;21
1754322584071;16820.5834;11920.9400;0.00;18.2;21
1754322587062;16820.5836;11920.9399;0.06;18.2;18
1754322590062;16820.5837;11920.9399;0.01;18.2;15
1754322593068;16820.5835;11920.9414;0.39;18.2;21
1754322596071;16820.5834;11920.9416;0.14;18.2;27
1754322599068;16820.5834;11920.9400;0.34;18.2;24
1754322602082;16820.5833;11920.9396;0.14;18.2;20
1754322605070;16820.5832;11920.9395;0.07;18.2;20
1754322608068;16820.5831;11920.9403;0.19;18.2;22
1754322611081;16820.5831;11920.9404;0.06;18.2;23
1754322614073;16820.5819;11920.9365;0.94;18.9;21
1754322617059;16820.5830;11920.9389;0.51;18.2;19
1754322620072;16820.5831;11920.9393;0.18;18.2;19
1754322623067;16820.5831;11920.9392;0.02;18.2;19
1754322626068;16820.5831;11920.9392;0.01;18.2;19
1754322629083;16820.5836;11920.9391;0.13;18.2;17
1754322632067;16820.5837;11920.9392;0.04;18.2;15
1754322635070;16820.5819;11920.9364;0.82;18.9;16
1754322638067;16820.5829;11920.9389;0.53;18.2;18
1754322641071;16820.5831;11920.9393;0.21;18.2;19
1754322644074;16820.5831;11920.9392;0.01;18.2;19
1754322647055;16820.5832;11920.9393;0.04;18.2;19
1754322650062;16820.5831;11920.9396;0.07;18.2;19
1754322653065;16820.5832;11920.9394;0.03;18.2;20
1754322656076;16820.5832;11920.9394;0.01;18.2;20
1754322659068;16820.5832;11920.9395;0.03;18.2;20
1754322662055;16820.5832;11920.9396;0.02;18.2;20
1754322665059;16820.5832;11920.9395;0.02;18.2;20
1754322668067;16820.5819;11920.9364;0.80;18.9;20
1754322671068;16820.5817;11920.9361;0.25;18.9;20
1754322674073;16820.5831;11920.9393;0.80;18.2;19
1754322677122;16820.5833;11920.9397;0.25;18.2;20
1754322680066;16820.5833;11920.9396;0.03;18.2;20
1754322683072;16820.5834;11920.9395;0.03;18.2;20
1754322686066;16820.5833;11920.9393;0.05;18.2;20
1754322689067;16820.5833;11920.9393;0.01;18.2;20
1754322692073;16820.5833;11920.9394;0.03;18.2;20
1754322695064;16820.5833;11920.9392;0.04;18.2;20
1754322698070;16820.5833;11920.9409;0.40;18.2;22
1754322701073;16820.5834;11920.9416;0.23;18.2;25
1754322704068;16820.5816;11920.9349;1.51;18.9;21
1754322707068;16820.5814;11920.9343;0.39;18.9;17
