1763572334217;16782.2748;11935.8190;0.05;40.1;89.4;6
1763572337209;16782.2747;11935.8184;0.16;40.1;89.1;6
1763572339223;16782.2747;11935.8183;0.06;40.1;89.2;7
1763572343212;16782.2759;11935.8174;0.39;40.1;89.4;7
1763572346217;16782.2795;11935.8151;1.42;40.1;89.3;7
1763572349229;16782.2864;11935.8047;4.53;40.1;102.8;8
1763572352212;16782.2989;11935.7929;4.77;40.3;102.8;8
1763572355226;16782.3111;11935.7810;4.37;40.3;89.8;7
1763572357220;16782.3184;11935.7745;4.05;40.3;90.4;8
1763572361226;16782.3306;11935.7623;3.56;40.5;89.6;10
1763572363226;16782.3369;11935.7555;3.98;40.5;89.5;10
1763572366231;16782.3454;11935.7466;3.79;40.5;90.1;11
1763572370215;16782.3543;11935.7347;3.45;40.8;102.8;11
1763572373216;16782.3614;11935.7253;3.64;40.9;89.7;12
1763572376224;16782.3693;11935.7153;3.97;40.9;89.2;11
1763572379207;16782.3792;11935.7086;4.06;41.2;84.3;11
1763572382221;16782.3907;11935.7016;4.99;41.1;82.5;10
1763572385240;16782.4076;11935.6857;6.83;41.2;87.3;10
1763572388210;16782.4254;11935.6686;7.33;41.0;87.5;11
1763572391209;16782.4410;11935.6512;7.62;41.1;87.1;11
1763572394217;16782.4570;11935.6296;7.36;40.9;88.5;11
1763572397208;16782.4699;11935.6055;7.52;40.9;87.8;11
1763572400294;16782.4787;11935.5858;6.76;41.1;86.3;11
1763572403216;16782.4903;11935.5676;5.14;41.4;102.8;12
1763572406235;16782.5015;11935.5619;3.86;41.4;102.8;14
1763572409212;16782.5221;11935.5599;5.35;41.4;102.8;15
1763572412211;16782.5455;11935.5619;6.63;41.4;88.4;13
1763572415214;16782.5681;11935.5673;6.96;41.3;90.1;12
1763572418216;16782.5927;11935.5721;6.72;41.3;90.9;12
1763572421213;16782.6166;11935.5778;6.38;41.1;102.8;13
1763572424213;16782.6346;11935.5787;5.30;41.1;91.6;13
1763572427224;16782.6494;11935.5821;4.17;40.9;91.6;12
1763572430219;16782.6679;11935.5809;4.84;40.9;92.7;12
1763572433232;16782.6941;11935.5819;6.71;40.7;102.8;12
1763572436219;16782.7187;11935.5870;7.87;40.7;94.2;12
1763572439213;16782.7450;11935.5915;7.64;40.5;93.8;11
1763572442213;16782.7709;11935.5970;8.14;40.3;91.7;11
1763572445204;16782.7994;11935.6036;8.56;40.1;91.2;10
1763572448208;16782.8296;11935.6085;8.71;39.9;91.3;10
1763572451210;16782.8596;11935.6138;9.05;39.7;91.8;10
1763572454216;16782.8907;11935.6194;9.05;39.6;91.3;11
1763572457211;16782.9195;11935.6252;9.26;39.8;90.5;12
1763572460208;16782.9498;11935.6311;9.40;39.7;89.9;12
1763572463206;16782.9817;11935.6361;9.34;39.3;89.8;13
1763572466211;16783.0118;11935.6421;9.78;39.1;88.9;14
1763572469206;16783.0433;11935.6417;9.77;38.8;87.8;14
1763572472214;16783.0773;11935.6423;9.33;38.7;87.9;14
1763572475204;16783.1063;11935.6415;9.12;38.8;102.8;13
1763572478210;16783.1379;11935.6454;8.84;38.6;89.3;13
1763572481217;16783.1680;11935.6565;8.67;38.4;102.8;13
1763572484202;16783.1972;11935.6622;8.67;38.3;88.4;12
1763572487210;16783.2257;11935.6686;8.78;38.2;86.7;12
1763572490203;16783.2543;11935.6748;8.72;37.6;86.0;11
1763572493209;16783.2808;11935.6837;8.48;37.5;82.2;11
1763572496208;16783.3122;11935.6889;8.65;37.3;84.8;11
1763572499206;16783.3410;11935.6976;8.63;37.1;83.7;12
1763572502212;16783.3636;11935.7043;7.40;37.1;102.8;14
1763572505202;16783.3726;11935.7031;2.74;37.0;102.8;15
1763572508216;16783.3784;11935.7059;2.18;37.4;102.8;14
1763572511214;16783.3866;11935.7076;2.37;37.4;102.8;14
1763572514210;16783.3909;11935.7077;0.00;37.4;102.8;13
1763572517209;16783.3968;11935.7135;3.33;37.4;81.5;13
1763572520221;16783.4150;11935.7233;5.57;37.9;88.6;13
1763572523214;16783.4382;11935.7387;7.18;37.4;86.6;13
1763572526213;16783.4551;11935.7192;7.14;37.6;86.3;12
1763572529210;16783.4603;11935.6974;6.30;37.8;85.7;11
1763572532202;16783.4488;11935.6710;7.77;37.7;84.6;11
1763572535210;16783.4412;11935.6466;7.24;37.9;85.0;12
1763572538217;16783.4428;11935.6191;7.93;38.3;83.2;13
1763572541203;16783.4451;11935.5910;8.49;38.3;82.7;15
1763572544203;16783.4480;11935.5392;11.30;38.7;84.5;16
1763572547204;16783.4623;11935.4999;12.12;38.7;79.6;15
1763572550209;16783.4762;11935.4380;13.76;39.3;81.0;13
1763572553208;16783.4884;11935.3942;13.61;39.6;79.9;15
1763572556203;16783.5035;11935.3458;14.26;39.8;102.8;18
1763572559216;16783.5192;11935.2973;14.40;40.5;80.9;18
1763572562205;16783.5363;11935.2490;14.41;40.7;81.9;16
1763572565205;16783.5500;11935.2147;12.13;41.2;81.7;14
1763572568209;16783.5613;11935.1929;9.10;41.2;83.4;14
1763572571204;16783.5817;11935.1633;8.73;41.6;84.6;12
1763572574210;16783.6010;11935.1414;8.18;41.3;84.5;10
1763572577212;16783.6204;11935.1231;8.14;41.3;82.7;10
1763572580213;16783.6300;11935.0927;9.10;41.8;85.5;10
1763572583201;16783.6422;11935.0638;9.44;41.8;86.9;10
1763572586218;16783.6624;11935.0301;11.07;42.2;86.6;10
1763572589210;16783.6864;11934.9958;12.13;42.5;84.8;10
1763572592219;16783.7135;11934.9605;12.97;42.8;86.4;10
