1769940118334;17058.1887;11916.4910;0.20;1798.0;1849.0;2
1769940120425;17058.1888;11916.4910;0.14;1797.9;1848.9;2
1769940122359;17058.1889;11916.4910;0.09;1797.9;1848.9;2
1769940124341;17058.1891;11916.4909;0.05;1798.0;1849.0;2
1769940126450;17058.1892;11916.4908;0.03;1797.8;1848.8;2
1769940128345;17058.1892;11916.4908;0.02;1797.9;1848.9;2
1769940130422;17058.1893;11916.4908;0.02;1797.8;1848.8;2
1769940132338;17058.1893;11916.4907;0.02;1797.9;1848.9;2
1769940134445;17058.1906;11916.4911;0.27;1797.9;1848.9;1
1769940136414;17058.1910;11916.4911;0.03;1797.9;1848.9;1
1769940138448;17058.1911;11916.4911;0.03;1796.1;1847.1;1
1769940140443;17058.1927;11916.4920;0.12;1796.0;1847.0;1
1769940142350;17058.1931;11916.4923;0.10;1795.9;1846.9;1
1769940144354;17058.1931;11916.4923;0.09;1795.8;1846.8;1
1769940146364;17058.1931;11916.4923;0.08;1794.8;1845.8;1
1769940148399;17058.1930;11916.4911;0.92;1794.8;1845.8;1
1769940150468;17058.1934;11916.4907;0.02;1794.8;1845.8;1
1769940152471;17058.1935;11916.4907;0.02;1794.9;1845.9;1
1769940154441;17058.1935;11916.4907;0.02;1795.0;1846.0;1
1769940156435;17058.1936;11916.4907;0.01;1795.0;1846.0;1
1769940158406;17058.1939;11916.4915;0.27;1795.0;1846.0;1
1769940160444;17058.1944;11916.4915;0.01;1795.1;1846.1;1
1769940162364;17058.1941;11916.4926;0.05;1795.1;1846.1;1
1769940164427;17058.1937;11916.4928;0.31;1795.2;1846.2;1
1769940166401;17058.1934;11916.4931;0.01;1794.2;1845.2;1
1769940168348;17058.1934;11916.4931;0.01;1794.1;1845.1;1
1769940170355;17058.1934;11916.4932;0.00;1794.0;1845.0;1
1769940172410;17058.1933;11916.4932;0.01;1794.0;1845.0;1
1769940174438;17058.1933;11916.4932;0.01;1793.9;1844.9;1
1769940176342;17058.1932;11916.4932;0.01;1793.9;1844.9;1
1769940178386;17058.1932;11916.4932;0.01;1793.9;1844.9;1
1769940180482;17058.1932;11916.4932;0.01;1793.9;1844.9;1
1769940182458;17058.1937;11916.4922;0.30;1793.9;1844.9;1
1769940184452;17058.1946;11916.4912;0.46;1794.0;1845.0;1
1769940186391;17058.1949;11916.4935;0.46;1794.0;1845.0;1
1769940188345;17058.1956;11916.4937;0.05;1794.1;1845.1;1
1769940190357;17058.1957;11916.4936;0.05;1794.1;1845.1;1
1769940192345;17058.1956;11916.4936;0.04;1794.2;1845.2;1
1769940194347;17058.1955;11916.4931;0.16;1794.1;1845.1;1
1769940196327;17058.1949;11916.4933;0.17;1794.0;1845.0;1
1769940198420;17058.1946;11916.4935;0.01;1794.0;1845.0;1
1769940200439;17058.1946;11916.4933;0.21;1794.0;1845.0;1
1769940202462;17058.1951;11916.4931;0.14;1794.0;1845.0;1
1769940204446;17058.1952;11916.4932;0.14;1794.9;1845.9;1
1769940206482;17058.1948;11916.4927;0.20;1794.9;1845.9;1
1769940208440;17058.1957;11916.4921;0.16;1794.9;1845.9;1
1769940210471;17058.1959;11916.4921;0.15;1795.0;1846.0;1
1769940212450;17058.1959;11916.4920;0.13;1794.9;1845.9;1
1769940214414;17058.1959;11916.4920;0.10;1794.9;1845.9;1
1769940218703;17058.1959;11916.4921;0.12;1794.9;1845.9;2
1769941584493;17058.5390;11915.8964;0.91;1794.9;1845.9;8
1769941586260;17058.5376;11915.8979;1.01;1870.0;1921.0;7
1769941588197;17058.5394;11915.8993;0.95;1869.0;1920.0;6
1769941590295;17058.5381;11915.8971;1.03;1866.0;1917.0;4
1769941591715;17058.5373;11915.8963;1.04;1866.8;1917.8;4
1769941593289;17058.5371;11915.8930;1.25;1867.0;1918.0;3
1769941594931;17058.5374;11915.8901;1.22;1867.2;1918.2;3
1769941596283;17058.5382;11915.8881;1.23;1867.2;1918.2;3
1769941597919;17058.5386;11915.8858;1.10;1867.1;1918.1;3
1769941599568;17058.5385;11915.8837;1.04;1867.2;1918.2;3
1769941601190;17058.5388;11915.8814;1.11;1867.4;1918.4;3
1769941603225;17058.5397;11915.8785;1.10;1867.8;1918.8;3
1769941605274;17058.5404;11915.8748;1.28;1868.6;1919.6;3
1769941607221;17058.5403;11915.8712;1.19;1868.7;1919.7;3
1769941608750;17058.5404;11915.8688;1.08;1868.9;1919.9;3
1769941610220;17058.5406;11915.8664;1.18;1870.3;1921.3;3
1769941611826;17058.5412;11915.8637;1.17;1870.3;1921.3;3
1769941613239;17058.5416;11915.8614;1.20;1871.3;1922.3;3
1769941615182;17058.5421;11915.8587;1.17;1871.4;1922.4;3
1769941616903;17058.5429;11915.8559;1.35;1872.3;1923.3;3
1769941618297;17058.5436;11915.8541;1.13;1872.5;1923.5;3
1769941619683;17058.5441;11915.8523;1.14;1872.6;1923.6;3
1769941621298;17058.5448;11915.8504;1.11;1873.1;1924.1;3
1769941622765;17058.5460;11915.8488;1.15;1873.0;1924.0;3
1769941624302;17058.5469;11915.8471;1.01;1873.1;1924.1;3
1769941626207;17058.5476;11915.8449;1.15;1873.2;1924.2;3
1769941627971;17058.5493;11915.8430;1.25;1873.2;1924.2;3
1769941629770;17058.5506;11915.8404;1.28;1873.2;1924.2;3
1769941863451;17058.7615;11915.6568;0.19;1894.2;1945.2;7
1769941865281;17058.7643;11915.6542;0.41;1894.3;1945.3;6
1769941867188;17058.7630;11915.6515;0.08;1894.3;1945.3;6
1769941869272;17058.7626;11915.6515;0.20;1894.4;1945.4;6
1769941871246;17058.7627;11915.6514;0.10;1894.5;1945.5;5
1769941873200;17058.7626;11915.6514;0.09;1894.5;1945.5;4
1769941875274;17058.7633;11915.6511;0.09;1894.5;1945.5;4
1769941877185;17058.7635;11915.6509;0.09;1894.5;1945.5;4
1769941879260;17058.7634;11915.6506;0.07;1894.5;1945.5;5
1769941881272;17058.7635;11915.6505;0.07;1894.5;1945.5;5
1769941883183;17058.7632;11915.6503;0.05;1894.5;1945.5;4
1769941885239;17058.7630;11915.6503;0.05;1894.5;1945.5;4
1769941887244;17058.7632;11915.6501;0.05;1894.6;1945.6;4
1769941889271;17058.7625;11915.6484;0.14;1894.6;1945.6;4
1769941891295;17058.7623;11915.6480;0.13;1894.6;1945.6;3
1769941893206;17058.7631;11915.6493;0.04;1894.6;1945.6;3
1769941895281;17058.7633;11915.6494;0.04;1894.6;1945.6;2
1769941897264;17058.7634;11915.6494;0.03;1894.8;1945.8;2
1769941899266;17058.7632;11915.6496;0.15;1894.7;1945.7;1
1769941901270;17058.7638;11915.6492;0.34;1894.7;1945.7;1
1769941903281;17058.7638;11915.6496;0.34;1894.7;1945.7;1
1769941905297;17058.7638;11915.6500;0.22;1894.6;1945.6;1
1769941907225;17058.7635;11915.6502;0.11;1894.6;1945.6;1
1769941909272;17058.7632;11915.6505;0.09;1894.5;1945.5;2
1769941911244;17058.7630;11915.6506;0.07;1894.4;1945.4;2
1769941913126;17058.7629;11915.6505;0.08;1894.5;1945.5;3
1769941915396;17058.7627;11915.6504;0.08;1894.4;1945.4;3
1769941917244;17058.7626;11915.6505;0.06;1894.5;1945.5;3
1769941919185;17058.7626;11915.6505;0.05;1894.5;1945.5;3
1769941921253;17058.7627;11915.6505;0.09;1893.9;1944.9;3
1769941923270;17058.7627;11915.6505;0.04;1894.4;1945.4;3
1769941925270;17058.7628;11915.6507;0.06;1894.0;1945.0;2
1769941927227;17058.7628;11915.6508;0.05;1892.2;1943.2;2
1769941929184;17058.7628;11915.6508;0.05;1891.1;1942.1;1
1769941931259;17058.7627;11915.6506;0.13;1891.1;1942.1;1
1769941933266;17058.7630;11915.6501;0.10;1891.0;1942.0;1
1769941935173;17058.7627;11915.6506;0.01;1891.0;1942.0;1
1769941937171;17058.7627;11915.6506;0.01;1891.0;1942.0;1
1769941939170;17058.7627;11915.6506;0.01;1891.0;1942.0;1
1769941941202;17058.7627;11915.6506;0.01;1891.0;1942.0;1
1769941943277;17058.7627;11915.6506;0.01;1891.0;1942.0;1
1769941945204;17058.7627;11915.6507;0.00;1891.0;1942.0;1
1769941947193;17058.7627;11915.6507;0.00;1891.0;1942.0;1
1769941949179;17058.7627;11915.6507;0.00;1891.1;1942.1;1
1769941951173;17058.7627;11915.6507;0.00;1891.0;1942.0;1
1769941953202;17058.7627;11915.6506;0.00;1891.0;1942.0;1
1769941955284;17058.7630;11915.6504;0.04;1890.9;1941.9;1
1769941957291;17058.7632;11915.6509;0.01;1891.0;1942.0;1
1769941959182;17058.7633;11915.6504;0.17;1890.9;1941.9;1
1769941961199;17058.7632;11915.6502;0.04;1891.0;1942.0;1
1769941963184;17058.7632;11915.6502;0.03;1891.0;1942.0;1
1769941965182;17058.7631;11915.6503;0.02;1891.1;1942.1;1
1769941967249;17058.7630;11915.6504;0.01;1891.1;1942.1;2
1769941969287;17058.7630;11915.6504;0.01;1891.2;1942.2;2
1769941971305;17058.7630;11915.6504;0.01;1891.2;1942.2;1
1769941973289;17058.7630;11915.6504;0.01;1891.2;1942.2;1
1769941975285;17058.7630;11915.6505;0.01;1891.2;1942.2;1
1769941977220;17058.7630;11915.6505;0.01;1891.2;1942.2;1
1769941979271;17058.7631;11915.6502;0.14;1892.0;1943.0;1
1769941981247;17058.7637;11915.6494;0.20;1892.0;1943.0;1
1769941983394;17058.7639;11915.6494;0.19;1892.0;1943.0;1
1769941985266;17058.7639;11915.6494;0.17;1892.0;1943.0;1
1769941987267;17058.7639;11915.6494;0.14;1892.0;1943.0;1
1769941989265;17058.7639;11915.6494;0.10;1892.0;1943.0;1
1769941991290;17058.7638;11915.6496;0.43;1891.9;1942.9;1
1769941993265;17058.7632;11915.6498;0.21;1891.9;1942.9;1
1769942469756;17058.8753;11915.5717;0.27;1915.6;1966.6;7
1769942471246;17058.8776;11915.5769;0.02;1915.9;1966.9;6
1769942474140;17058.8783;11915.5812;1.22;1918.7;1969.7;6
1769942476222;17058.8784;11915.5799;0.47;1918.7;1969.7;4
1769942478208;17058.8781;11915.5800;0.45;1918.7;1969.7;3
1769942480213;17058.8772;11915.5815;0.13;1918.7;1969.7;2
1769942482223;17058.8770;11915.5819;0.46;1918.7;1969.7;2
1769942484184;17058.8773;11915.5817;0.20;1918.7;1969.7;2
1769942485949;17058.8776;11915.5817;0.46;1918.7;1969.7;2
1769942487408;17058.8792;11915.5803;0.65;1918.7;1969.7;2
1769942489223;17058.8812;11915.5787;0.76;1918.8;1969.8;3
1769942490641;17058.8830;11915.5778;0.94;1918.9;1969.9;3
1769942492090;17058.8841;11915.5771;0.84;1918.3;1969.3;3
1769942493429;17058.8851;11915.5768;0.87;1918.7;1969.7;3
1769942495218;17058.8868;11915.5768;1.03;1920.1;1971.1;3
1769942497166;17058.8892;11915.5770;0.98;1919.6;1970.6;3
1769942498955;17058.8913;11915.5772;0.94;1920.3;1971.3;3
1769942501342;17058.8939;11915.5771;0.84;1921.4;1972.4;3
1769942502851;17058.8956;11915.5767;0.84;1921.5;1972.5;3
1769942504235;17058.8955;11915.5758;0.78;1921.0;1972.0;3
1769942505983;17058.8966;11915.5750;0.82;1921.9;1972.9;3
1769942507522;17058.8972;11915.5749;0.82;1921.4;1972.4;3
1769942509204;17058.8985;11915.5753;0.71;1921.8;1972.8;3
1769942511171;17058.9001;11915.5752;0.80;1921.9;1972.9;3
1769942512859;17058.9014;11915.5749;0.79;1922.2;1973.2;3
1769942514505;17058.9023;11915.5748;0.50;1922.5;1973.5;3
1769942516408;17058.9032;11915.5752;0.55;1922.9;1973.9;3
1769943632210;17059.8048;11915.4644;0.03;2071.0;2122.0;2
1769943634061;17059.8049;11915.4643;0.04;2071.0;2122.0;2
1769943636038;17059.8050;11915.4642;0.04;2071.0;2122.0;2
1769943638092;17059.8050;11915.4642;0.03;2071.0;2122.0;2
1769943640043;17059.8050;11915.4642;0.02;2070.8;2121.8;2
1769943642044;17059.8051;11915.4642;0.02;2070.7;2121.7;2
1769943644032;17059.8051;11915.4642;0.02;2070.8;2121.8;2
1769943646063;17059.8050;11915.4641;0.02;2070.7;2121.7;2
1769943648033;17059.8054;11915.4640;0.04;2070.7;2121.7;2
1769943650079;17059.8057;11915.4638;0.07;2069.9;2120.9;2
1769943652088;17059.8059;11915.4637;0.06;2070.7;2121.7;1
1769943654057;17059.8059;11915.4633;0.11;2070.6;2121.6;1
1769943656030;17059.8058;11915.4639;0.29;2069.9;2120.9;1
1769943658031;17059.8059;11915.4628;0.47;2069.9;2120.9;1
